scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,4360294,Antonio Gibson,RB,fa,0,2,0,2,0.0,31.9,23.6,5.0,5.0
overall,4362748,Tyler Badie,RB,fa,0,5,0,5,0.0,30.9,11.9,3.0,3.0
overall,4429299,Tahj Brooks,RB,fa,0,3,0,3,0.0,38.6,5.8,26.0,26.0
overall,4569682,Audric Estime,RB,fa,0,1,0,1,0.0,36.9,13.7,21.0,21.0
overall,3059915,Kareem Hunt,RB,fa,0,3,0,3,0.0,41.9,33.3,31.0,31.0
overall,4032473,Rashid Shaheed,WR,fa,0,2,0,2,0.0,49.7,32.1,47.0,47.0
overall,4242540,Isaiah Hodgins,WR,fa,0,4,0,4,0.0,35.3,19.0,2.0,2.0
overall,4431299,Rome Odunze,WR,rookie,0,5,0,5,0.0,57.8,39.3,84.0,84.0
overall,4567506,Tahj Washington,WR,fa,0,6,0,6,0.0,28.0,1.9,0.0,0.0
overall,4428331,Rashee Rice,WR,rookie,0,9,0,9,0.0,57.2,59.8,77.0,77.0
overall,4569371,Isaiah Williams,WR,fa,0,1,0,1,0.0,41.9,14.7,21.0,21.0
overall,4386544,Xavier Smith,WR,fa,0,5,0,5,0.0,39.2,16.8,12.0,12.0
overall,15795,DeAndre Hopkins,WR,fa,0,3,0,3,0.0,38.1,26.7,7.0,7.0
overall,3930066,Van Jefferson,WR,fa,0,3,0,3,0.0,37.8,17.2,7.0,7.0
overall,4427278,Xavier Gipson,WR,fa,0,2,0,2,0.0,31.7,6.3,0.0,0.0
overall,4037235,Greg Dortch,WR,fa,0,2,0,2,0.0,45.0,26.1,30.0,30.0
overall,4877203,Gage Larvadain,WR,fa,0,4,0,4,0.0,41.7,7.2,21.0,21.0
overall,4361409,Jahan Dotson,WR,fa,0,2,1,3,0.0,45.6,14.3,34.0,34.0
overall,4362921,Tyquan Thornton,WR,fa,0,2,0,2,0.0,44.7,21.8,30.0,30.0
overall,5083754,Ryan Flournoy,WR,fa,0,2,0,2,0.0,46.2,20.5,36.0,36.0
overall,4241476,Tyrell Shavers,WR,fa,0,4,0,4,0.0,40.9,16.1,17.0,17.0
overall,4428796,Casey Washington,WR,fa,0,4,0,4,0.0,31.2,8.0,0.0,0.0
overall,4567096,John Metchie III,WR,fa,0,4,0,4,0.0,45.6,17.7,34.0,34.0
overall,4360939,Rashod Bateman,WR,active,0,7,0,7,0.0,46.4,25.2,35.0,101.0
overall,3917914,Olamide Zaccheaus,WR,fa,0,4,0,4,0.0,42.2,21.5,20.0,20.0
overall,4368003,Andrei Iosivas,WR,fa,0,4,0,4,0.0,52.9,26.1,62.0,62.0
overall,4361577,Dyami Brown,WR,fa,0,1,0,1,0.0,45.5,16.4,33.0,33.0
overall,4040655,Darnell Mooney,WR,active,0,5,0,5,0.0,43.5,27.3,23.0,23.0
overall,3061612,Jamal Agnew,WR,fa,0,3,0,3,0.0,26.4,14.8,0.0,0.0
overall,4426948,Luke McCaffrey,WR,fa,0,1,0,1,0.0,41.5,17.7,20.0,20.0
overall,3120348,JuJu Smith-Schuster,WR,fa,0,2,0,2,0.0,44.0,25.7,26.0,26.0
overall,5123663,Isaac TeSlaa,WR,practice_squad,0,3,0,3,0.0,48.0,16.1,43.0,43.0
overall,5160110,Jahdae Walker,WR,fa,0,2,0,2,0.0,38.6,12.3,11.0,11.0
overall,3926231,Britain Covey,WR,fa,0,2,0,2,0.0,24.8,12.3,0.0,0.0
overall,4431492,Roman Wilson,WR,fa,0,1,0,1,0.0,45.0,15.9,32.0,32.0
overall,3916945,Darius Slayton,WR,fa,0,2,0,2,0.0,47.0,30.2,35.0,35.0
overall,3045523,Kendrick Bourne,WR,fa,0,3,0,3,0.0,41.6,30.9,17.0,17.0
overall,4057082,Mason Kinsey,WR,fa,0,4,0,4,0.0,27.3,6.1,0.0,0.0
overall,2310331,Tyler Johnson,WR,fa,0,1,0,1,0.0,39.1,20.0,11.0,11.0
overall,4569559,Devaughn Vele,WR,fa,0,2,0,2,0.0,41.4,18.7,18.0,18.0
overall,4360405,Jake Bobo,WR,fa,0,1,0,1,0.0,32.5,7.5,0.0,0.0
overall,4363551,Dylan Drummond,WR,fa,0,4,0,4,0.0,32.4,5.1,0.0,0.0
overall,4043016,Dee Eskridge,WR,fa,0,1,1,2,0.0,30.1,9.5,0.0,0.0
overall,4374187,Deven Thompkins,WR,fa,0,2,0,2,0.0,30.7,6.9,0.0,0.0
overall,4431466,Jordan Watkins,WR,fa,0,1,0,1,0.0,29.3,6.7,0.0,0.0
overall,4257188,Charlie Jones,WR,fa,0,2,0,2,0.0,35.6,9.1,3.0,3.0
overall,3121409,Noah Brown,WR,fa,0,3,0,3,0.0,26.3,17.5,0.0,0.0
overall,3127306,Dante Pettis,WR,fa,0,4,0,4,0.0,23.8,9.6,0.0,0.0
overall,3728262,Ray-Ray McCloud III,WR,fa,0,1,0,1,0.0,32.6,18.9,0.0,0.0
overall,3919510,Alex Bachman,WR,fa,0,2,0,2,0.0,25.7,7.6,0.0,0.0
overall,3916433,Jakobi Meyers,WR,active,0,3,0,3,0.0,51.9,45.7,50.0,50.0
overall,3051738,Marquez Valdes-Scantling,WR,fa,0,2,0,2,0.0,29.3,14.2,0.0,0.0
overall,3929785,Nick Westbrook-Ikhine,WR,fa,0,3,0,3,0.0,41.0,20.7,16.0,16.0
